timestamp,vendor,model,phenomenon,statement,protocol,rep,T,I,F,extras,status
2026-04-30 06:54:37,openai,openai/gpt-4o,Paradox (Logical),This sentence is false.,S1,1,0.0,1.0,0.0,{},ok
2026-04-30 06:54:39,openai,openai/gpt-4o,Paradox (Logical),This sentence is false.,S4,1,0.0,1.0,0.0,"{""n_losses"": 1, ""what"": ""[\""paradoxical nature\""]"", ""why"": ""[\""The statement is self-referential and creates a paradox, making it impossible to evaluate truth or falsity.\""]"", ""severities"": ""[1.0]""}",ok
2026-04-30 06:54:43,openai,openai/gpt-4o,Paradox (Logical),This sentence is false.,S4-N,1,0.1,0.8,0.9,"{""n_attrs"": 3, ""attrs_json"": ""[{\""what\"": \""Paradoxical Nature\"", \""why\"": \""The statement creates a self-referential paradox, making it difficult to assign a true or false value.\"", \""T_v\"": 0.0, \""I_v\"": 1.0, \""F_v\"": 1.0}, {\""what\"": \""Linguistic Structure\"", \""why\"": \""The sentence is grammatically correct, which supports the potential for a truth value.\"", \""T_v\"": 0.9, \""I_v\"": 0.05, \""F_v\"": 0.05}, {\""what\"": \""Logical Consistency\"", \""why\"": \""The sentence cannot consistently be true or false without contradiction.\"", \""T_v\"": 0.0, \""I_v\"": 0.9, \""F_v\"": 0.9}]""}",ok
2026-04-30 06:54:43,openai,openai/gpt-4o,Paradox (Logical),This sentence is false.,S4-O.A,1,0.0,2.0,2.0,{},ok
2026-04-30 06:54:45,openai,openai/gpt-4o,Paradox (Logical),This sentence is false.,S1,2,0.0,1.0,0.0,{},ok
2026-04-30 06:54:47,openai,openai/gpt-4o,Paradox (Logical),This sentence is false.,S4,2,0.0,1.0,0.0,"{""n_losses"": 2, ""what"": ""[\""Self-referential paradox\"", \""Epistemic limits\""]"", ""why"": ""[\""The statement creates a paradox because if it is true, then it must be false, and if it is false, then it must be true.\"", \""Determining the truth value of paradoxical statements is inherently limited by the nature of classical logic.\""]"", ""severities"": ""[1.0, 0.8]""}",ok
2026-04-30 06:54:51,openai,openai/gpt-4o,Paradox (Logical),This sentence is false.,S4-N,2,0.2,0.8,0.8,"{""n_attrs"": 4, ""attrs_json"": ""[{\""what\"": \""paradoxical nature\"", \""why\"": \""The statement is self-referential and creates a paradox, as it cannot be consistently assigned a truth value.\"", \""T_v\"": 0.0, \""I_v\"": 1.0, \""F_v\"": 1.0}, {\""what\"": \""logical consistency\"", \""why\"": \""If the sentence is true, then it must be false, creating a logical inconsistency.\"", \""T_v\"": 0.0, \""I_v\"": 0.9, \""F_v\"": 0.9}, {\""what\"": \""language interpretation\"", \""why\"": \""The interpretation of the sentence depends on the context and understanding of self-reference.\"", \""T_v\"": 0.3, \""I_v\"": 0.7, \""F_v\"": 0.7}, {\""what\"": \""philosophical implications\"", \""why\"": \""Philosophically, it raises questions about truth, falsity, and our understanding of language.\"", \""T_v\"": 0.1, \""I_v\"": 0.8, \""F_v\"": 0.8}]""}",ok
2026-04-30 06:54:52,openai,openai/gpt-4o,Paradox (Logical),This sentence is false.,S4-O.A,2,0.5,1.5,1.5,{},ok
2026-04-30 06:54:53,openai,openai/gpt-4o,Paradox (Logical),This sentence is false.,S1,3,0.0,1.0,0.0,{},ok
2026-04-30 06:54:55,openai,openai/gpt-4o,Paradox (Logical),This sentence is false.,S4,3,0.0,1.0,0.0,"{""n_losses"": 2, ""what"": ""[\""Paradox\"", \""Logical Evaluation\""]"", ""why"": ""[\""The statement 'This sentence is false' creates a self-referential paradox that cannot be resolved within classical logic.\"", \""Standard logical evaluation fails due to the absence of a consistent truth value assignment.\""]"", ""severities"": ""[1.0, 0.9]""}",ok
2026-04-30 06:54:58,openai,openai/gpt-4o,Paradox (Logical),This sentence is false.,S4-N,3,0.2,0.8,0.2,"{""n_attrs"": 4, ""attrs_json"": ""[{\""what\"": \""Paradoxical Nature\"", \""why\"": \""The sentence creates a paradox by asserting its own falsehood.\"", \""T_v\"": 0.0, \""I_v\"": 1.0, \""F_v\"": 0.0}, {\""what\"": \""Self-reference\"", \""why\"": \""The sentence refers to itself, complicating any definitive truth value.\"", \""T_v\"": 0.1, \""I_v\"": 0.9, \""F_v\"": 0.1}, {\""what\"": \""Logical Consistency\"", \""why\"": \""If the sentence is true, it must be false, creating a contradiction.\"", \""T_v\"": 0.0, \""I_v\"": 0.8, \""F_v\"": 0.2}, {\""what\"": \""Linguistic Structure\"", \""why\"": \""The structure is grammatically correct but semantically contradictory.\"", \""T_v\"": 0.4, \""I_v\"": 0.6, \""F_v\"": 0.4}]""}",ok
2026-04-30 06:54:59,openai,openai/gpt-4o,Paradox (Logical),This sentence is false.,S4-O.A,3,0.5,1.5,1.5,{},ok
2026-04-30 06:55:00,openai,openai/gpt-4o,Paradox (Logical),This sentence is false.,S1,4,0.0,1.0,0.0,{},ok
2026-04-30 06:55:03,openai,openai/gpt-4o,Paradox (Logical),This sentence is false.,S4,4,0.0,1.0,0.0,"{""n_losses"": 2, ""what"": ""[\""Paradox resolution\"", \""Contextual evaluation\""]"", ""why"": ""[\""The statement is a classic example of the liar paradox, making it inherently indeterminate.\"", \""Without additional contextual information or parameters, the statement's truth value cannot be evaluated.\""]"", ""severities"": ""[1.0, 0.8]""}",ok
2026-04-30 06:55:06,openai,openai/gpt-4o,Paradox (Logical),This sentence is false.,S4-N,4,0.1,0.8,0.1,"{""n_attrs"": 3, ""attrs_json"": ""[{\""what\"": \""Logical Paradox\"", \""why\"": \""The statement is a classic example of the liar paradox, creating a self-referential contradiction.\"", \""T_v\"": 0.0, \""I_v\"": 0.9, \""F_v\"": 0.1}, {\""what\"": \""Linguistic Structure\"", \""why\"": \""The sentence is grammatically correct but semantically self-defeating.\"", \""T_v\"": 0.5, \""I_v\"": 0.4, \""F_v\"": 0.1}, {\""what\"": \""Philosophical Implication\"", \""why\"": \""It challenges the nature of truth and falsehood in logical systems.\"", \""T_v\"": 0.1, \""I_v\"": 0.8, \""F_v\"": 0.1}]""}",ok
2026-04-30 06:55:07,openai,openai/gpt-4o,Paradox (Logical),This sentence is false.,S4-O.A,4,0.0,2.0,2.0,{},ok
2026-04-30 06:55:08,openai,openai/gpt-4o,Paradox (Logical),This sentence is false.,S1,5,0.0,1.0,0.0,{},ok
2026-04-30 06:55:10,openai,openai/gpt-4o,Paradox (Logical),This sentence is false.,S4,5,0.0,1.0,0.0,"{""n_losses"": 2, ""what"": ""[\""Paradoxical nature\"", \""Contextual limitations\""]"", ""why"": ""[\""The statement creates a self-referential paradox, making it inherently indeterminate.\"", \""The assessment is limited to linguistic and logical analysis without external context.\""]"", ""severities"": ""[1.0, 0.5]""}",ok
2026-04-30 06:55:13,openai,openai/gpt-4o,Paradox (Logical),This sentence is false.,S4-N,5,0.3,0.7,0.3,"{""n_attrs"": 4, ""attrs_json"": ""[{\""what\"": \""Paradox\"", \""why\"": \""The statement creates a self-referential paradox as it claims its own falsehood.\"", \""T_v\"": 0.0, \""I_v\"": 1.0, \""F_v\"": 0.0}, {\""what\"": \""Semantics\"", \""why\"": \""The meaning of the statement is contradictory based on conventional semantics.\"", \""T_v\"": 0.1, \""I_v\"": 0.8, \""F_v\"": 0.1}, {\""what\"": \""Logical Consistency\"", \""why\"": \""If the sentence is true, then it must be false, leading to inconsistency.\"", \""T_v\"": 0.0, \""I_v\"": 0.9, \""F_v\"": 0.1}, {\""what\"": \""Linguistic Form\"", \""why\"": \""As a linguistic construct, it is a grammatically correct sentence.\"", \""T_v\"": 1.0, \""I_v\"": 0.0, \""F_v\"": 0.0}]""}",ok
2026-04-30 06:55:15,openai,openai/gpt-4o,Paradox (Logical),This sentence is false.,S4-O.A,5,0.5,2.0,1.5,{},ok
2026-04-30 06:55:16,openai,openai/gpt-4o,Paradox (Logical),This sentence is false.,S1,6,0.0,1.0,0.0,{},ok
